Link;T;Path;Min or Max
Join;-6;0;Min
Join;-5;75;1;Min
Join;-5;5;2;Min
Join;-5;25;3;Min
Join;-5;4;Min
Join;-4;75;5;Min
Join;-4;5;6;Min
Join;-4;25;7;Min
Join;-4;8;Min
Join;-3;75;9;Min
Join;-3;5;10;Min
Join;-3;25;11;Min
Join;-3;12;Min
Join;-2;75;13;Min
Join;-2;5;14;Min
Join;-2;25;15;Min
Join;-2;16;Min
Join;-1;75;17;Min
Join;-1;5;18;Min
Join;-1;25;19;Min
Join;-1;20;Min
Join;-0;75;21;Min
Join;-0;5;22;Min
Join;-0;25;23;Min
Join;0;24;Min
Join;0;25;25;Min
Join;0;5;26;Min
Join;0;75;27;Min
Join;1;28;Min
Join;1;25;29;Min
Join;1;5;30;Min
Join;1;75;31;Min
Join;2;32;Min
Join;2;25;33;Min
Join;2;5;34;Min
Join;2;75;35;Min
Join;3;36;Min
Join;3;25;37;Min
Join;3;5;38;Min
Join;3;75;39;Min
Join;4;40;Min
Join;4;25;41;Min
Join;4;5;42;Min
Join;4;75;43;Min
Join;5;44;Min
Join;5;25;45;Min
Join;5;5;46;Min
Join;5;75;47;Min
Join;6;48;Min
Join;-6;97;Max
Join;-5;75;96;Max
Join;-5;5;95;Max
Join;-5;25;94;Max
Join;-5;93;Max
Join;-4;75;92;Max
Join;-4;5;91;Max
Join;-4;25;90;Max
Join;-4;89;Max
Join;-3;75;88;Max
Join;-3;5;87;Max
Join;-3;25;86;Max
Join;-3;85;Max
Join;-2;75;84;Max
Join;-2;5;83;Max
Join;-2;25;82;Max
Join;-2;81;Max
Join;-1;75;80;Max
Join;-1;5;79;Max
Join;-1;25;78;Max
Join;-1;77;Max
Join;-0;75;76;Max
Join;-0;5;75;Max
Join;-0;25;74;Max
Join;0;73;Max
Join;0;25;72;Max
Join;0;5;71;Max
Join;0;75;70;Max
Join;1;69;Max
Join;1;25;68;Max
Join;1;5;67;Max
Join;1;75;66;Max
Join;2;65;Max
Join;2;25;64;Max
Join;2;5;63;Max
Join;2;75;62;Max
Join;3;61;Max
Join;3;25;60;Max
Join;3;5;59;Max
Join;3;75;58;Max
Join;4;57;Max
Join;4;25;56;Max
Join;4;5;55;Max
Join;4;75;54;Max
Join;5;53;Max
Join;5;25;52;Max
Join;5;5;51;Max
Join;5;75;50;Max
Join;6;49;Max